 ,Area,Mean,X,Y,Circ.,AR,Round,Solidity
3921,0.094,243.952,246.046,86.751,0.838,1.851,0.540,0.903
3922,0.034,158.725,192.286,87.015,0.873,1.000,1.000,0.714
3923,0.094,215.608,235.222,87.185,0.993,1.437,0.696,0.824
3924,0.141,239.073,217.151,87.269,0.943,1.158,0.864,0.840
3925,0.081,211.084,228.449,87.322,0.851,1.634,0.612,0.800
3926,0.027,258.613,229.249,87.302,1.000,1.000,1.000,1.000
3927,0.034,173.615,213.881,88.278,1.000,1.553,0.644,0.909
3928,0.094,162.395,212.247,88.451,1.000,1.020,0.981,0.933
3929,0.074,183.556,208.166,89.282,1.000,1.139,0.878,0.815
3930,0.236,259.774,229.190,89.462,0.947,1.455,0.687,0.875
3931,0.108,177.067,107.076,90.215,1.000,1.209,0.827,0.889
3932,0.155,192.189,226.187,90.425,1.000,1.149,0.871,0.885
3933,0.289,364.554,238.406,90.428,0.927,1.580,0.633,0.905
3934,0.061,265.954,245.199,90.397,0.923,1.539,0.650,0.900
3935,0.229,229.992,235.427,90.864,0.972,1.329,0.753,0.872
3936,0.128,199.152,217.112,90.966,0.944,1.547,0.646,0.905
3937,0.155,211.835,241.263,91.239,0.964,1.702,0.588,0.902
3938,0.034,160.348,89.525,91.380,1.000,1.553,0.644,0.909
3939,0.081,189.986,222.282,91.507,1.000,1.281,0.780,0.857
3940,0.074,172.952,7.276,91.706,0.976,1.035,0.966,0.846
3941,0.182,213.759,225.130,91.844,1.000,1.156,0.865,0.871
3942,0.182,181.651,227.552,91.950,1.000,1.490,0.671,0.900
3943,0.108,136.864,209.009,91.994,1.000,1.292,0.774,0.889
3944,0.168,187.821,234.417,92.341,0.919,1.527,0.655,0.909
3945,0.081,248.461,243.649,92.635,0.851,1.782,0.561,0.750
3946,0.054,143.384,210.409,92.686,1.000,1.229,0.814,0.941
3947,0.094,174.497,91.879,92.881,1.000,1.020,0.981,0.933
3948,0.114,208.336,232.162,93.086,1.000,1.385,0.722,0.850
3949,0.020,170.114,211.950,93.059,1.000,1.464,0.683,0.857
3950,0.020,165.878,12.048,93.305,1.000,1.464,0.683,0.857
3951,0.269,243.220,240.739,93.464,0.973,1.451,0.689,0.920
3952,0.054,282.602,226.173,93.456,0.914,1.195,0.837,0.800
3953,0.047,231.187,242.524,93.415,1.000,1.069,0.936,0.875
3954,0.350,169.518,12.792,94.096,0.982,1.115,0.897,0.881
3955,0.148,173.183,47.444,93.922,1.000,1.149,0.870,0.863
3956,0.283,509.291,244.456,94.177,0.932,1.030,0.971,0.857
3957,0.101,215.025,231.626,94.372,0.976,1.392,0.718,0.882
3958,0.310,458.756,240.180,94.883,0.830,1.939,0.516,0.868
3959,0.128,215.229,228.448,94.831,0.944,1.113,0.898,0.864
3960,0.040,171.010,80.902,94.810,1.000,1.500,0.667,1.000
3961,0.202,255.524,241.880,95.110,0.929,1.121,0.892,0.896
3962,0.074,189.116,47.563,95.123,0.976,1.035,0.966,0.846
3963,0.141,213.224,98.916,95.255,0.880,1.839,0.544,0.840
3964,0.013,187.132,225.680,95.425,1.000,2.000,0.500,1.000
3965,0.229,202.848,221.887,95.714,0.941,1.359,0.736,0.907
3966,0.020,328.610,238.480,95.466,0.967,3.000,0.333,1.000
3967,0.020,150.785,197.974,95.575,1.000,1.464,0.683,0.857
3968,0.209,174.008,41.699,96.771,0.960,1.091,0.917,0.873
3969,0.007,224.753,242.172,96.533,1.000,1.000,1.000,1.000
3970,0.862,185.249,221.734,97.082,0.820,1.229,0.814,0.889
3971,0.034,214.395,232.983,96.697,0.873,1.000,1.000,0.714
3972,0.155,215.267,220.672,97.075,1.000,1.311,0.763,0.885
3973,0.054,171.769,199.352,97.097,1.000,1.229,0.814,0.941
3974,0.034,268.448,238.513,98.026,1.000,1.553,0.644,0.909
3975,0.189,232.706,231.137,98.379,1.000,1.263,0.792,0.903
3976,0.202,100.079,119.088,98.499,1.000,1.328,0.753,0.923
3977,0.343,162.997,34.654,98.714,0.963,1.179,0.848,0.872
3978,0.222,246.373,241.041,98.731,0.965,1.226,0.816,0.892
3979,0.067,188.801,220.035,98.666,1.000,1.236,0.809,0.909
3980,0.020,166.511,191.082,98.857,1.000,1.464,0.683,0.857
3981,0.074,154.255,211.120,98.979,0.976,1.450,0.689,0.846
3982,0.108,173.799,225.593,99.184,1.000,1.392,0.718,0.889
3983,0.013,182.248,235.485,99.322,1.000,2.000,0.500,1.000
3984,0.020,207.756,214.959,99.678,1.000,1.464,0.683,0.857
3985,0.074,185.384,193.628,99.904,1.000,1.372,0.729,0.957
